Type,Sample_id,participant,TOTAL_READS,PF_READS,READ_LENGTH,TOTAL_BASES,PF_BASES,Q20_BASES,PF_Q20_BASES,Q30_BASES,PF_Q30_BASES,Q20_EQUIVALENT_YIELD,PF_Q20_EQUIVALENT_YIELD
Tumor,25_DM,01BR001,225683778,225683778,128,29011437578,29011437578,28509853690,28509853690,27102600766,27102600766,42296567147,42296567147
Normal,25_DN,01BR001,179803830,179803830,130,23387733848,23387733848,22976836176,22976836176,21798342567,21798342567,34068155481,34068155481
Tumor,260_DM,20BR007,268848290,268848290,137,36948755745,36948755745,36765857787,36765857787,36186596971,36186596971,54944922978,54944922978
Normal,260_DN,20BR007,184652544,184652544,137,25461802402,25461802402,25331383979,25331383979,24910273848,24910273848,37847705645,37847705645
Tumor,261_DM,20BR008,207284330,207284330,137,28554908111,28554908111,28408958960,28408958960,27938123265,27938123265,42446428333,42446428333
Normal,261_DN,20BR008,193708862,193708862,138,26772980910,26772980910,26641135175,26641135175,26185984491,26185984491,39795962729,39795962729
Tumor,262_DM,21BR010,255394754,255394754,138,35368877264,35368877264,35205419628,35205419628,34781111883,34781111883,52672069826,52672069826
Normal,262_DN,21BR010,210731952,210731952,132,27834971706,27834971706,27702024492,27702024492,27302159166,27302159166,41415356996,41415356996
Tumor,263_DM,22BR005,217059402,217059402,139,30223671040,30223671040,30082476329,30082476329,29620105477,29620105477,44958668608,44958668608
Normal,263_DN,22BR005,239051154,239051154,138,33098994711,33098994711,32955149188,32955149188,32539464108,32539464108,49291618623,49291618623
Tumor,264_DM,22BR006,187629844,187629844,126,23662849542,23662849542,23564379898,23564379898,23277040204,23277040204,35248751697,35248751697
Normal,264_DN,22BR006,278053418,278053418,131,36642631726,36642631726,36469031441,36469031441,35956259957,35956259957,54528006584,54528006584
Tumor,26_DM,01BR015,160509892,160509892,130,20866741160,20866741160,20476039079,20476039079,19435073238,19435073238,30377676961,30377676961
Normal,26_DN,01BR015,159797532,159797532,129,20730097403,20730097403,20387369537,20387369537,19366703727,19366703727,30230106527,30230106527
Tumor,27_DM,01BR017,159411448,159411448,130,20810683922,20810683922,20368349099,20368349099,19261346485,19261346485,30205518068,30205518068
Normal,27_DN,01BR017,193672302,193672302,129,25085107061,25085107061,24617223047,24617223047,23318516718,23318516718,36494677780,36494677780
Tumor,28_DM,01BR018,199728072,199728072,130,26073601989,26073601989,25555458593,25555458593,24123298856,24123298856,37855814168,37855814168
Normal,28_DN,01BR018,183971278,183971278,128,23579534716,23579534716,23081925130,23081925130,21931629240,21931629240,34283409542,34283409542
