Case,Tissue Type,Sample Aliquot ID,Uniquely mapped reads number,Uniquely mapped reads %,% of reads mapped to multiple loci,% of reads mapped to too many loci,% of reads unmapped: other,% of reads unmapped: too short,Insertion rate per base,"Mismatch rate per base, %",Number of input reads,Number of reads mapped to multiple loci,Number of reads mapped to too many loci,Number of splices: Total
C3N-01808,Solid Tissue Normal,3a83e35a-2718-44e4-9140-de766ff1c957,96550139.0,92.11,5.86,0.39,0.11,1.53,0.01,0.24,104823802.0,6143896.0,409479.0,21746489.0
C3L-00103,Primary Tumor,ac4fb97a-7871-49d7-a46c-28033dff66af,85620126.0,91.62,5.81,0.55,0.14,1.88,0.01,0.25,93448589.0,5431902.0,509921.0,19812538.0
C3N-01176,Solid Tissue Normal,6986f4cc-298e-4d53-8c38-159ed0ed7d45,89708534.0,93.29,5.34,0.37,0.11,0.89,0.01,0.21,96158464.0,5131624.0,352314.0,19319608.0
C3N-01649,Primary Tumor,117223ec-83d6-49ca-a128-6727c4ba1953,92255818.0,92.7,5.87,0.51,0.13,0.78,0.01,0.18,99516050.0,5841940.0,511993.0,19638046.0
C3N-01808,Primary Tumor,4c1f4c4d-f91e-43b7-b65d-cf0fff761ea1,69134021.0,91.51,6.57,0.76,0.1,1.07,0.01,0.25,75547382.0,4961140.0,571434.0,17406192.0
C3L-00103,Solid Tissue Normal,975c97b1-d946-4d40-8e1b-627fa5b359e4,81547644.0,93.07,4.97,0.53,0.12,1.31,0.01,0.2,87618196.0,4356153.0,462657.0,16721574.0
C3N-01649,Solid Tissue Normal,8dd24a37-784a-4eac-a697-03500ee819ac,88946661.0,92.9,5.15,0.38,0.1,1.46,0.01,0.21,95739586.0,4928329.0,365166.0,18801945.0
C3N-00149,Primary Tumor,f7325567-72f5-4bfd-9092-8d1a694ad776,92725572.0,91.24,7.29,0.39,0.1,0.98,0.0,0.24,101632708.0,7408188.0,394737.0,23299034.0
C3N-00149,Solid Tissue Normal,1ead3637-2a71-456d-b24f-46da4fb3a548,65191397.0,93.2,5.18,0.3,0.1,1.21,0.01,0.2,69946066.0,3623836.0,213156.0,14906352.0
C3L-00581,Solid Tissue Normal,3f432bf7-06b8-454d-95d5-ad20706f41d3,95179474.0,92.29,6.04,0.44,0.12,1.12,0.01,0.2,103128338.0,6225609.0,451270.0,19490604.0
C3L-00817,Primary Tumor,ed31bdbf-f13f-4d3a-bd4c-e6ed56bcda7a,87456790.0,92.97,5.94,0.31,0.12,0.67,0.01,0.19,94067705.0,5585674.0,287748.0,19410403.0
C3L-01313,Solid Tissue Normal,c1b9066d-3de9-4ff1-b2ee-0e570749b670,83027144.0,92.61,5.12,0.41,0.1,1.75,0.01,0.22,89648874.0,4587098.0,371220.0,17696515.0
C3N-00573,Primary Tumor,a9123e41-4f53-4407-8322-d4b30c66f144,83074581.0,91.35,7.4,0.35,0.12,0.77,0.01,0.21,90938350.0,6732852.0,319977.0,18754840.0
C3L-00581,Primary Tumor,49001195-cda0-4c86-bdcc-1be1769e1206,107880671.0,91.13,7.15,0.3,0.11,1.31,0.01,0.21,118386181.0,8467744.0,350756.0,27394460.0
C3L-01313,Primary Tumor,a27e2d9d-f555-4914-af17-a0dc87ebb2bd,73291496.0,93.23,5.59,0.39,0.15,0.64,0.01,0.18,78612957.0,4398332.0,307391.0,16479540.0
C3N-00573,Solid Tissue Normal,451fbc46-8b0e-48a0-9670-8013bbe5d7c9,82263867.0,93.78,5.05,0.31,0.11,0.76,0.01,0.21,87722546.0,4426989.0,268295.0,16731458.0
C3L-00360,Primary Tumor,8cb2643c-ddee-478d-91cc-62e00ad4cfad,84696782.0,91.25,5.88,0.22,0.13,2.52,0.01,0.25,92813400.0,5458086.0,204675.0,20568282.0
C3L-01302,Solid Tissue Normal,37239aec-6d6a-45c5-8346-d6c96f5f9fad,106073072.0,93.04,5.45,0.38,0.11,1.02,0.01,0.21,114005297.0,6207862.0,434037.0,24708517.0
C3N-01361,Solid Tissue Normal,6470670b-c83c-4f97-95d2-371a9abb8147,51882828.0,94.31,4.35,0.27,0.11,0.95,0.01,0.2,55012396.0,2395253.0,148794.0,11094341.0
C3N-01361,Primary Tumor,24b5dbbf-c2b1-4474-9244-db3c3ff8fee5,83864075.0,92.02,6.75,0.48,0.12,0.63,0.01,0.19,91136716.0,6154522.0,440445.0,19211828.0
C3N-01651,Solid Tissue Normal,f5ef4535-3700-4dd1-b2e3-7460e6bcadab,65000583.0,93.54,4.8,0.3,0.11,1.25,0.01,0.2,69490193.0,3335614.0,207721.0,13736014.0
C3N-01651,Primary Tumor,51d0c04a-5324-41dd-abc1-9d1d7b735037,84679068.0,91.28,7.49,0.44,0.13,0.66,0.01,0.2,92772920.0,6951938.0,405967.0,21130101.0
C3L-00360,Solid Tissue Normal,20e9c338-f48e-49c1-b25e-f7973f93b7ae,74300079.0,93.39,4.75,0.4,0.11,1.35,0.01,0.21,79558325.0,3778595.0,316880.0,15113083.0
C3L-01302,Primary Tumor,429a0241-f773-4042-aaac-fc43c77e9446,99337321.0,93.18,5.45,0.32,0.12,0.93,0.01,0.19,106604472.0,5806321.0,341397.0,22267185.0
C3L-00907,Primary Tumor,925ef109-71f3-481f-9ced-2381347c7acf,83993020.0,91.6,7.3,0.26,0.11,0.72,0.01,0.21,91693318.0,6694162.0,240397.0,20773886.0
C3L-00448,Solid Tissue Normal,4ab7c4fd-0030-4364-9000-792fe1ca535f,74062176.0,92.4,5.51,0.37,0.11,1.61,0.01,0.22,80151944.0,4419210.0,293099.0,15887335.0
C3L-00907,Solid Tissue Normal,7d2fa96f-8c77-41ea-b87e-18c9fdee1e18,93574358.0,93.28,5.28,0.26,0.11,1.07,0.01,0.19,100317828.0,5298902.0,262899.0,20616362.0
C3L-01286,Solid Tissue Normal,999675db-cee5-4c69-984a-3ceb6f854f7c,80822921.0,92.18,5.43,0.4,0.11,1.89,0.01,0.25,87682415.0,4763989.0,347425.0,17754254.0
C3L-01607,Solid Tissue Normal,64c8338f-f7fa-498c-83e0-a88a38ff2966,86172348.0,92.08,6.16,0.51,0.12,1.13,0.01,0.22,93580864.0,5762793.0,479329.0,19987051.0
C3L-01607,Primary Tumor,c856b4cb-1fe4-4390-9158-a520a64b47e8,85268991.0,91.06,7.24,0.47,0.12,1.1,0.01,0.29,93639492.0,6781799.0,443624.0,18515122.0
C3L-00448,Primary Tumor,1f02511f-4274-47d0-aa08-8d6ad7b1e363,78368475.0,90.15,6.21,0.71,0.1,2.83,0.01,0.2,86935585.0,5397187.0,617954.0,20084232.0
C3L-01286,Primary Tumor,57a78a5e-e720-45b9-a768-56f624f814b8,84782297.0,92.53,6.32,0.38,0.14,0.63,0.0,0.18,91625964.0,5792253.0,346849.0,23696668.0
C3N-01179,Primary Tumor,a4c78f92-1c2d-47d1-9492-3d522c178441,96005145.0,90.85,7.41,0.58,0.14,1.03,0.01,0.19,105676813.0,7827434.0,609045.0,20482721.0
C3L-00606,Primary Tumor,d98c99f4-a0f7-45f6-9560-1d53ebe7ad3b,89485806.0,86.83,9.1,0.38,0.09,3.59,0.01,0.18,103055661.0,9379970.0,396444.0,23757526.0
C3N-01179,Solid Tissue Normal,b38b9d1c-e02f-47b5-b722-d31ce7980de8,54932582.0,94.0,4.87,0.3,0.12,0.71,0.01,0.2,58441566.0,2847203.0,177722.0,11413296.0
C3L-00606,Solid Tissue Normal,77eb0557-89d0-448e-a0c6-a5e06c4575fe,93839933.0,92.7,5.53,0.6,0.12,1.06,0.01,0.21,101235117.0,5596664.0,607745.0,19684716.0
C3N-01648,Primary Tumor,56adbedb-e0ac-4910-a409-17cfccd07127,89479301.0,87.27,10.86,0.38,0.13,1.36,0.0,0.26,102527042.0,11132571.0,389159.0,23010764.0
C3N-00242,Primary Tumor,3d27b10e-725b-47a4-b11e-99a198afc496,86035161.0,94.47,3.41,0.21,0.12,1.79,0.01,0.2,91074522.0,3106673.0,193575.0,16522911.0
C3N-01648,Solid Tissue Normal,eca4739f-1713-4344-863d-f52e4e86d332,75700317.0,93.1,5.19,0.36,0.12,1.23,0.01,0.2,81308785.0,4222074.0,289881.0,15427755.0
C3N-00242,Solid Tissue Normal,79c4bebf-0333-45a4-af42-6b21aa4e0863,89726283.0,92.34,5.76,0.38,0.11,1.41,0.01,0.21,97168739.0,5600201.0,364959.0,19647402.0
C3L-00418,Solid Tissue Normal,01af162e-d248-447b-b306-4a10f0696ebf,86294875.0,94.13,4.32,0.16,0.1,1.28,0.01,0.27,91673547.0,3964068.0,145918.0,17389888.0
C3N-00577,Solid Tissue Normal,ca2ba3b2-2502-405a-bfbf-5e6ebe950099,94635587.0,93.94,4.67,0.32,0.12,0.95,0.01,0.2,100741977.0,4704551.0,322054.0,19795814.0
C3L-01882,Primary Tumor,fc6180e6-500c-4e64-9b04-fe9eb97cfcfc,80071769.0,92.56,6.01,0.54,0.12,0.77,0.01,0.25,86505212.0,5201763.0,468133.0,17966739.0
C3L-01882,Solid Tissue Normal,ec31792c-7507-46b9-8aab-b12d52ae34df,80773294.0,93.19,5.13,0.38,0.11,1.18,0.01,0.2,86676313.0,4449276.0,333045.0,18944161.0
C3L-00418,Primary Tumor,46e647fb-3110-4a7b-b5e6-aee3d5bbe861,67184155.0,89.86,7.99,0.72,0.09,1.34,0.0,0.17,74768249.0,5974461.0,536976.0,17763648.0
C3N-00733,Solid Tissue Normal,d68c03e8-5832-423b-a661-1849ed3f5b56,75275806.0,94.23,4.6,0.3,0.1,0.77,0.01,0.21,79886942.0,3671943.0,237102.0,16165200.0
C3N-00733,Primary Tumor,47281ea3-2e85-4d26-af08-9d6987909ef5,84784485.0,90.91,7.18,0.38,0.1,1.43,0.0,0.2,93259045.0,6693102.0,356637.0,24262003.0
C3N-00577,Primary Tumor,f4773953-3ff7-4de1-98c6-6eb77cd37e42,103070899.0,91.59,7.25,0.33,0.1,0.73,0.01,0.2,112538573.0,8159591.0,375434.0,25843013.0
C3L-00910,Solid Tissue Normal,45aa7950-289e-47d5-a2e0-d276d46c5cf7,83558549.0,92.49,5.54,0.46,0.11,1.39,0.01,0.19,90340662.0,5006829.0,417083.0,18501775.0
